Category,Year,Statement,TaxonomyA_Categories,TaxonomyA_Explanations,TaxonomyB_Categories,TaxonomyB_Explanations
Kilroy_Reality,2012,"Not only do we build all of our new development with the goal of LEED Gold and major renovation projects with the goal of LEED Silver, but we are currently pursuing LEED certifications for over 3.2 million square feet of office space.",3,This statement refers to a specific numeric target for LEED certifications.,,
Kilroy_Reality,2012,"Next year, we will build the first ground-up LEED Platinum office building in San Francisco.",3,This statement refers to a specific future commitment to build a LEED Platinum office building.,,
Kilroy_Reality,2012,"We exceeded our goal of reducing energy use by 2% by achieving a 2.4% reduction, and met our goals with respect to recycling revitalizations and electric vehicle charging station installations, but fell short of our goal to reduce water use by 2%.",,,"3, 4",This statement acknowledges progress on past commitments to reduce energy use and meet recycling and installation goals. | This statement acknowledges a shortfall on a past commitment to reduce water use.
Kilroy_Reality,2012,"Over the next five years, we will be expanding and formalizing our existing programs by pursuing LEED for Existing Buildings certification for many of our properties via the LEED Volume Program.",3,This statement refers to a specific numeric target for LEED certifications for existing buildings.,,
Kilroy_Reality,2012,We will continue to pursue LEED certification for all new development projects.,3,This statement refers to a specific numeric target for LEED certifications for new development projects.,,
Kilroy_Reality,2012,"Our success in reducing building energy use is evident in our impressive energy efficiency results: 27 of our office buildings, representing 45% of our office portfolio by square footage, is ENERGY STAR certified, an improvement of 10 buildings over last year.",,,3,This statement acknowledges progress on a past commitment to improve energy efficiency and achieve ENERGY STAR certification.
Kilroy_Reality,2012,"“KRC is committed to being a good steward of the environment while we build and manage the highest quality environments for our tenants. This work, which we accomplished in partnership with the City of Kirkland, is a clear example of our commitment in the Puget Sound Region,” says Kilroy senior vice president Mike Shields.",2,This statement shows a generic/high-level commitment to environmental stewardship.,,
Kilroy_Reality,2012,"We continue to be an ENERGY STAR partner, and as such we have benchmarked the energy use of all of our buildings in ENERGY STAR’s Portfolio Manager. Our average score is 78 out of 100, a 2 point improvement over 2011.",,,3,This statement acknowledges progress on a past commitment to benchmark energy use.
Kilroy_Reality,2012,"In 2012 we decided to participate in the Los Angeles Department of Water and Power’s portion of the Better Buildings Challenge by enrolling our Sunset Media Tower building. This means we have agreed to reduce that building’s energy use at least 20% by 2020 and develop a holistic plan for achieving that goal, with a schedule and milestones to achieve.","3, 5",This statement shows a specific numeric target for reducing energy use. | This statement also mentions a detailed plan or roadmap for achieving the energy reduction goal.,,
Kilroy_Reality,2012,"We made great strides in our sustainability programs in 2012, and look forward to pushing ourselves even farther in 2013.",2,This statement shows a generic/high-level commitment to improving sustainability programs.,3,This statement acknowledges progress on past sustainability efforts.
Kilroy_Reality,2012,"For the first time this year, KRC has decided to adopt the reporting guidelines of the Global Reporting Initiative (GRI).",2,"This statement indicates a high-level commitment to sustainability reporting, but does not specify any numeric targets or detailed plans.",5,"This statement refers to an updated commitment to sustainability reporting, as it is the first time KRC has decided to adopt the GRI reporting guidelines."
Kilroy_Reality,2012,This is KRC’s second corporate sustainability report and its first developed in line with GRI guidelines.,2,"This statement indicates a high-level commitment to sustainability reporting, but does not specify any numeric targets or detailed plans.",3,"This statement acknowledges progress towards sustainability reporting, as it is the second corporate sustainability report and the first developed in line with GRI guidelines."
Kilroy_Reality,2012,KRC is well-positioned among office REITs to minimize the financial risk of climate change and to capitalize on business opportunities that may result.,2,"This statement indicates a high-level commitment to minimizing the financial risk of climate change and capitalizing on business opportunities, but does not specify any numeric targets or detailed plans.",,
Kilroy_Reality,2012,"We manage rising costs for energy and water through our efficiency programs to protect our tenants, but it is possible that as a result of climate change these costs could increase faster than we can reduce our energy and water use.",2,"This statement indicates a high-level commitment to managing rising costs for energy and water through efficiency programs, but does not specify any numeric targets or detailed plans.",3,This statement acknowledges progress towards managing rising costs for energy and water through efficiency programs.
Kilroy_Reality,2012,"We strive to implement sustainability measures far before they are required by code, so we have mitigated this risk, and in the event that even stricter regulations than anticipated are implemented, we are well positioned to respond quickly.",2,"This statement shows a high-level commitment to sustainability measures, but does not provide specific targets or plans.",,
Kilroy_Reality,2012,"In this case, we believe that the market will reward our energy conservation efforts because our highly energy efficient buildings will be increasingly attractive to future tenants.",2,"This statement shows a high-level commitment to energy conservation and efficiency, but does not provide specific targets or plans.",,
Kilroy_Reality,2012,"In addition, there may be increased government incentives for energy conservation, and we are well positioned to take advantage of these opportunities.",2,"This statement shows a high-level commitment to take advantage of opportunities for energy conservation, but does not provide specific targets or plans.",,
Kilroy_Reality,2012,"By committing to sustainable building, we have experienced expedited approvals and community support.",2,"This statement shows a high-level commitment to sustainable building, but does not provide specific targets or plans.",3,This statement acknowledges progress in achieving expedited approvals and community support due to commitment to sustainable building.
Kilroy_Reality,2012,"Because we proactively address climate change risk, we minimize financial risk, especially regarding new regulation, take advantage of opportunities in our portfolio, and increase our success in undertaking new development projects.",2,"This statement shows a high-level commitment to proactively address climate change risk, but does not provide specific targets or plans.",,
Kilroy_Reality,2012,"In 2013, we will be pushing for increased transparency from our waste vendors so that we can get more complete information on tonnages and diversion information. We will also be pursuing further recycling revitalizations.",3,This statement shows a specific numeric target for the year 2013 to increase transparency from waste vendors and pursue further recycling revitalizations.,,
