Category,Year,Statement,TaxonomyA_Categories,TaxonomyA_Explanations,TaxonomyB_Categories,TaxonomyB_Explanations
Prologis__Inc.,2020,"We also made progress toward the three pillars of our (cid:10)nclusion (cid:1057) (cid:5)iversity efforts(cid:1126)(cid:10)nfrastructure, (cid:6)ngagement and Community—through initiatives like HiPE, a rotational leadership program targeting diverse candidates.",2,"This statement refers to a high-level commitment to progress in inclusion, diversity, infrastructure, engagement, and community.",,
Prologis__Inc.,2020,"Furthered by our SolarSmart initiative, we partnered with our customers to install 40 megawatts of new roo(cid:517)op solar capacity at our warehouses, making it one of the program(cid:1114)s most successful years and adding to our onsite solar capacity that already ranks third among U.S. corporations.",3,This statement refers to a specific numeric target of installing 40 megawatts of new rooftop solar capacity.,3,This statement acknowledges progress towards the company's past commitment to increase solar capacity.
Prologis__Inc.,2020,"(cid:24)e have committed to achieving third-party certification for all new developments and redevelopments globally, which furthers our 2008 commitment to design all new buildings to specifications that align with leading sustainable building standards.",4,"This statement refers to a net-zero or carbon-neutral target, as achieving third-party certification for all new developments and redevelopments globally would likely involve carbon-neutral or net-zero practices.",5,This statement refers to an updated or extended commitment from their 2008 commitment to design all new buildings to specifications that align with leading sustainable building standards.
Prologis__Inc.,2020,"(cid:10)n con(cid:37)unction with our efforts to reduce carbon emissions and reach our science-based targets, we have committed to achieving (cid:1059)(cid:1058)(cid:1058)(cid:1684) carbon-neutral construction globally by (cid:1060)(cid:1058)(cid:1060)(cid:1063) and will partner with our customers to decarbonize their operations through our CarbonZero program.","4, 6","This statement refers to a net-zero or carbon-neutral target, as the company has committed to achieving 100% carbon-neutral construction globally by 2025. | This statement refers to a science-based or external framework commitment, as the company is working to reach science-based targets.",,
Prologis__Inc.,2020,Our longstanding commitment to ESG began with leading-edge governance dating back to our founding almost 40 years ago.,2,"This statement refers to a high-level commitment to ESG, but does not provide specific numeric targets or detailed plans.",3,"This statement acknowledges progress on past commitments, as it refers to a longstanding commitment to ESG."
Prologis__Inc.,2020,Climate action (cid:1125) (cid:24)e cataly(cid:53)e the adoption of efficient and renewable technologies that drive down climate-damaging emissions.,2,"This statement refers to a high-level commitment to climate action and adoption of efficient and renewable technologies, but does not provide specific numeric targets or detailed plans.",,
Prologis__Inc.,2020,Reduce the carbon emissions associated with the construction and operation of our buildings.,2,"This statement refers to a high-level commitment to reduce carbon emissions, but does not provide specific numeric targets or detailed plans.",,
Prologis__Inc.,2020,Science-based target approved by SBTi,6,"This statement refers to a commitment to science-based targets, which are externally defined and validated.",3,"This statement acknowledges progress on past commitments, as it refers to an approved science-based target."
Prologis__Inc.,2020,Prologis’ Committed to achieve carbon neutral construction,4,"This statement refers to a commitment to achieve carbon-neutral construction, which is a specific type of net-zero target.",5,This statement refers to an updated or extended commitment to achieve carbon-neutral construction.
Prologis__Inc.,2020,Install 400 MW of solar capacity on our buildings by 2025,3,This statement refers to a specific numeric target for solar capacity installation.,,
Prologis__Inc.,2020,"New goal established redevelopment achieve sustainable positioning, improves risk certification We will begin reporting with 2021",2,"This statement refers to a new goal being established, which is a forward-looking commitment. However, it is not specific enough to be classified under a more detailed category.",,
Prologis__Inc.,2020,Install 100% LED lighting across our entire portfolio (by area) through the end of 2020,3,This statement refers to a specific numeric target for installing LED lighting across the entire portfolio.,,
Prologis__Inc.,2020,We have made significant progress toward our ESG commitments and are on track to accomplish more.,,,3,This statement acknowledges progress towards past ESG commitments.
Prologis__Inc.,2020,Reduce total Scope 1 & 2 greenhouse gas (GHG) emissions by 21% (2016 baseline) 2016–2020,3,This statement refers to a specific numeric target for reducing greenhouse gas emissions.,,
Prologis__Inc.,2020,Reduce total Scope 3 GHG emissions2 by 15% (2016 baseline) 2016–2020,3,This statement refers to a specific numeric target for reducing greenhouse gas emissions.,,
Prologis__Inc.,2020,Achieve 100% carbon-neutral construction globally We will begin reporting with 2021,4,This statement refers to a net-zero or carbon-neutral target for global construction.,,
Prologis__Inc.,2020,"Note: We are retiring our cool roofs goal due to methodological challenges. However, we remain committed to installing cool roofs wherever they provide energy savings",2,"This statement refers to a high-level commitment to continue installing cool roofs, despite retiring a specific goal.",6,This statement refers to a discontinued or superseded commitment to a cool roofs goal.
Prologis__Inc.,2020,"By adopting and advancing cutting-edge sustainable technologies, materials, building techniques and operational strategies across our global operations, we offer unique value to our customers, build resilience and future-proof our business.",2,"This statement shows a high-level commitment to sustainability, but does not provide specific targets or plans.",,
Prologis__Inc.,2020,"DC4 requires no fossil fuels and produces zero emissions. In fact, DC4 will be a net energy producer, with a rooftop solar system that generates more energy than the building requires.",4,This statement refers to a specific net-zero or carbon-neutral target for the DC4 building.,,
Prologis__Inc.,2020,We will reduce absolute Scope 1 and 2 GHG emissions 20% by 2020 and 40% by 2025 from a 2016 base year. We will reduce absolute Scope 3 GHG emissions 15% by 2020 and 20% by 2025 from a 2016 base year.,3,This statement provides specific numeric targets for reducing GHG emissions.,2,"This statement refers to past commitments, but it's unclear whether they have been achieved."
Prologis__Inc.,2020,"Our Scope 3 emissions reduced by 28% from 2019 to 2020, driven by a 38% reduction in downstream leased assets, despite a simultaneous 10% increase in total warehouse square footage.",,,3,This statement acknowledges progress towards past commitments.
Prologis__Inc.,2020,"In 2020, we achieved a 21% reduction in our Scope 1 & 2 footprint compared to 2019, although this represents a 40% increase compared to our 2016 baseline due to the growth of our business in the intervening years.",,,3,"This statement acknowledges progress towards past commitments, specifically a 21% reduction in Scope 1 & 2 emissions compared to 2019."
Prologis__Inc.,2020,"With our newly announced goal to achieve carbon-neutral construction by 2025, Prologis is taking a leadership role in addressing one of the largest sources of global carbon emissions: the embodied carbon of buildings.",4,"This statement refers to a specific net-zero or carbon-neutral target, specifically achieving carbon-neutral construction by 2025.",,
Prologis__Inc.,2020,"Prologis already works closely with its customers to implement efficiency improvements and install onsite renewable energy with no upfront costs. With CarbonZero, we will make it easy for customers to operate a carbon-neutral building.",5,"This statement refers to a detailed plan or roadmap, specifically the CarbonZero program to help customers operate carbon-neutral buildings.",,
